DATAFLOW,FREQ: Frequency,TIME_PERIOD: Time,GEO_PICT: Pacific Island Countries and territories,DRILLDOWN: Drilldown level,UNIT_ID: Unit identifier,INDICATOR: Indicator,OBS_VALUE,UNIT_MEASURE: Unit of measure,UNIT_MULT: Unit multiplier,OBS_STATUS: Observation Status,DATA_SOURCE: Data source,OBS_COMMENT: Comment,FACNAME: Facility name,FACTYPE: Facility type,LATITUDE: Latitude,LONGITUDE: Longitude,HEALTHSTAFF: Health staff,DOCTORS: Doctors,MIDW: Midwives,NURSES: Nurses,NURSEAIDS: Nurse aides,PHARMAOT: Pharmacy officer techician,PHARMACIST: Pharmacist,MICROSCOPIST: Microscopist,OTHERHS: Other health staff,CATCHPOP: Catchment population,VACC: Vaccination,NEWBORN: Newborn care,STI: STI treatment,TB: Tuberculosis treatment,MALARIA: Malaria treatment,XRAY: X-ray machine,BEDS: Inpatient beds,"Nearest Coast, Calculated (m)"
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,TO-4: Tongatapu,DD: Drilldown,ID000799: ID000799,NFAC: Number of facilities,1,N: units,,,,,Fua'amotu,Community health centre,-21.26266656,-175.141356,5,0,0,4,0,0,0,0,1,3940,,Yes,Yes,No,No,No,2,846.0571762
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,TO-4: Tongatapu,DD: Drilldown,ID000803: ID000803,NFAC: Number of facilities,1,N: units,,,,,Kolofo'ou 2,Clinic,-21.1445,-175.197194,2,0,0,2,0,0,0,0,0,,,,,,,,,484.4603886
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,TO-1: Ha'apai,DD: Drilldown,ID000789: ID000789,NFAC: Number of facilities,1,N: units,,,,,Ha'afeva,Remote CHC,-19.95247528,-174.7094369,2,0,0,1,0,0,0,0,1,1022,,No,Yes,No,No,No,2,67.39021009
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,TO-1: Ha'apai,DD: Drilldown,ID000793: ID000793,NFAC: Number of facilities,1,N: units,,,,,Princess Fusipala Hospital,Hospital,-19.8031268,-174.3468663,,,,,,,,,,,,,,,,,,115.6250179
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,TO-4: Tongatapu,DD: Drilldown,ID000807: ID000807,NFAC: Number of facilities,1,N: units,,,,,Kolovai,Community health centre,-21.10170694,-175.339219,4,0,0,3,0,0,0,0,1,3600,Weekly,No,No,No,No,No,1,258.298969
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,TO-5: Vava'u,DD: Drilldown,ID000821: ID000821,NFAC: Number of facilities,1,N: units,,,,,Ngu Hospital,Hospital,-18.64584311,-173.9840376,55,5,2,42,0,4,0,0,2,15000,Weekly,Yes,Yes,Yes,No,Yes,60,643.1730701
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,TO-1: Ha'apai,DD: Drilldown,ID000788: ID000788,NFAC: Number of facilities,1,N: units,,,,,Foa,Clinic,-19.74092979,-174.3057242,1,0,0,1,0,0,0,0,0,1352,Weekly,Yes,No,No,No,No,0,241.6804313
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,TO-4: Tongatapu,DD: Drilldown,ID000808: ID000808,NFAC: Number of facilities,1,N: units,,,,,Ma'ufanga,Clinic,-21.14102639,-175.1793532,4,0,0,4,0,0,0,0,0,5000,Weekly,No,No,No,No,No,0,94.05471365
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,TO-5: Vava'u,DD: Drilldown,ID000817: ID000817,NFAC: Number of facilities,1,N: units,,,,,Hunga,Clinic,-18.68725866,-174.1211192,1,0,0,1,0,0,0,0,0,1069,Other,Yes,No,No,No,No,1,234.2901479
SPC:DF_HEALTH_FACILITIES(1.0),A: Annual,2021,TO-4: Tongatapu,DD: Drilldown,ID000815: ID000815,NFAC: Number of facilities,1,N: units,,,,,Vaini,Community health centre,-21.19165802,-175.1823639,6,0,0,5,0,0,0,0,1,8471,Weekly,Yes,No,No,No,No,4,989.1530444
